date,open,high,low,close
2022-02-19 16:00:00 +0800,5_991.31,5_997.71,5_991.31,5_997.71
2022-02-19 12:00:00 +0800,5_920.05,5_975.74,5_920.05,5_975.74
2022-02-19 08:00:00 +0800,5_981.84,5_981.84,5_930.83,5_930.83
2022-02-19 04:00:00 +0800,5_981.68,6_022.36,5_981.68,6_022.36
2022-02-19 00:00:00 +0800,6_110.09,6_206.91,6_101.38,6_101.38
2022-02-18 20:00:00 +0800,6_043.32,6_174.86,6_043.32,6_134.70
2022-02-18 16:00:00 +0800,5_998.21,6_024.42,5_984.57,6_024.42
2022-02-18 12:00:00 +0800,5_970.97,6_026.82,5_970.97,6_007.37
2022-02-18 08:00:00 +0800,6_083.07,6_083.07,6_000.01,6_020.22
2022-02-18 04:00:00 +0800,6_324.06,6_324.06,6_128.62,6_128.62
2022-02-18 00:00:00 +0800,6_428.29,6_440.15,6_282.75,6_282.75
2022-02-17 20:00:00 +0800,6_533.13,6_533.13,6_392.08,6_392.08
2022-02-17 16:00:00 +0800,6_514.36,6_533.74,6_453.32,6_533.74
2022-02-17 12:00:00 +0800,6_598.60,6_598.60,6_523.86,6_523.86
2022-02-17 08:00:00 +0800,6_637.61,6_637.61,6_604.92,6_613.46
2022-02-17 04:00:00 +0800,6_552.07,6_552.07,6_470.08,6_506.49
2022-02-17 00:00:00 +0800,6_694.99,6_694.99,6_510.34,6_510.34
2022-02-16 20:00:00 +0800,6_671.77,6_677.23,6_670.33,6_677.23
2022-02-16 16:00:00 +0800,6_637.93,6_637.93,6_590.55,6_634.07
2022-02-16 12:00:00 +0800,6_755.00,6_755.00,6_649.50,6_664.83
2022-02-16 08:00:00 +0800,6_651.18,6_684.33,6_634.40,6_684.33
2022-02-16 04:00:00 +0800,6_736.49,6_736.49,6_644.28,6_670.90
2022-02-16 00:00:00 +0800,6_727.80,6_753.90,6_720.89,6_753.90
2022-02-15 20:00:00 +0800,6_596.02,6_737.50,6_596.02,6_737.50
2022-02-15 16:00:00 +0800,6_573.01,6_573.01,6_548.84,6_548.84
2022-02-15 12:00:00 +0800,6_408.89,6_563.17,6_404.57,6_558.00
2022-02-15 08:00:00 +0800,6_287.00,6_394.34,6_287.00,6_394.34
2022-02-15 04:00:00 +0800,6_460.63,6_477.44,6_403.29,6_403.29
2022-02-15 00:00:00 +0800,6_346.45,6_485.57,6_346.45,6_485.57
2022-02-14 20:00:00 +0800,6_383.10,6_383.10,6_326.53,6_344.11
2022-02-14 16:00:00 +0800,6_347.32,6_386.36,6_330.68,6_386.36
2022-02-14 12:00:00 +0800,6_474.94,6_474.94,6_303.63,6_308.20
2022-02-14 08:00:00 +0800,6_383.64,6_496.14,6_383.64,6_496.14
2022-02-14 04:00:00 +0800,6_571.04,6_571.04,6_373.71,6_373.71
2022-02-14 00:00:00 +0800,6_500.64,6_538.97,6_500.64,6_522.85
2022-02-13 20:00:00 +0800,6_478.09,6_494.37,6_442.92,6_494.37
2022-02-13 16:00:00 +0800,6_470.04,6_500.23,6_450.42,6_500.23
2022-02-13 12:00:00 +0800,6_494.19,6_521.08,6_472.77,6_472.77
2022-02-13 08:00:00 +0800,6_485.16,6_540.89,6_382.93,6_501.55
2022-02-13 04:00:00 +0800,6_335.90,6_519.26,6_335.90,6_519.26
2022-02-13 00:00:00 +0800,6_417.09,6_417.09,6_341.56,6_341.56
2022-02-12 20:00:00 +0800,6_334.36,6_410.53,6_334.36,6_374.11
2022-02-12 16:00:00 +0800,6_392.59,6_392.59,6_303.05,6_303.05
2022-02-12 12:00:00 +0800,6_464.94,6_464.94,6_404.86,6_418.23
2022-02-12 08:00:00 +0800,6_653.80,6_653.80,6_435.66,6_435.66
2022-02-12 04:00:00 +0800,6_824.05,6_824.05,6_698.70,6_698.70
2022-02-12 00:00:00 +0800,6_809.74,6_872.82,6_809.74,6_849.15
2022-02-11 20:00:00 +0800,6_899.94,6_899.94,6_792.24,6_838.04
2022-02-11 16:00:00 +0800,6_767.99,6_864.02,6_767.99,6_864.02
2022-02-11 12:00:00 +0800,6_948.05,6_948.05,6_758.01,6_779.45
2022-02-11 08:00:00 +0800,6_990.01,7_007.73,6_990.01,7_007.73
2022-02-11 04:00:00 +0800,7_204.81,7_204.81,7_098.28,7_098.28
2022-02-11 00:00:00 +0800,7_287.76,7_287.76,6_949.36,7_086.83
2022-02-10 20:00:00 +0800,7_101.11,7_190.55,7_101.11,7_190.55
2022-02-10 16:00:00 +0800,7_033.72,7_109.76,7_033.72,7_109.76
2022-02-10 12:00:00 +0800,7_204.01,7_204.01,7_058.08,7_058.08
2022-02-10 08:00:00 +0800,7_186.00,7_201.04,7_173.59,7_195.67
2022-02-10 04:00:00 +0800,7_127.07,7_174.57,7_120.64,7_174.57
2022-02-10 00:00:00 +0800,7_084.78,7_114.40,7_084.78,7_098.68
2022-02-09 20:00:00 +0800,7_092.67,7_130.24,7_080.67,7_125.85
2022-02-09 16:00:00 +0800,6_900.44,7_056.67,6_900.44,7_056.67
2022-02-09 12:00:00 +0800,6_901.34,6_920.17,6_882.46,6_882.46
2022-02-09 08:00:00 +0800,6_798.60,6_913.58,6_798.60,6_891.12
2022-02-09 04:00:00 +0800,6_887.00,6_887.00,6_777.10,6_781.65
2022-02-09 00:00:00 +0800,6_985.12,6_985.12,6_875.11,6_890.41
2022-02-08 20:00:00 +0800,7_219.18,7_219.18,6_966.99,6_966.99
2022-02-08 16:00:00 +0800,7_245.22,7_281.30,7_194.57,7_194.57
2022-02-08 12:00:00 +0800,7_067.66,7_120.87,7_067.66,7_115.55
2022-02-08 08:00:00 +0800,7_125.71,7_125.71,7_032.06,7_094.50
2022-02-08 04:00:00 +0800,6_866.57,7_058.02,6_866.57,7_045.18
2022-02-08 00:00:00 +0800,6_582.22,6_799.58,6_582.22,6_799.58
2022-02-07 20:00:00 +0800,6_614.21,6_614.21,6_568.35,6_571.86
2022-02-07 16:00:00 +0800,6_544.75,6_579.32,6_515.50,6_579.32
2022-02-07 12:00:00 +0800,6_538.00,6_538.00,6_474.60,6_517.73
2022-02-07 08:00:00 +0800,6_360.81,6_399.57,6_337.37,6_381.43
2022-02-07 04:00:00 +0800,6_288.37,6_348.16,6_288.37,6_299.34
2022-02-07 00:00:00 +0800,6_408.33,6_408.33,6_268.12,6_268.12
2022-02-06 20:00:00 +0800,6_314.09,6_495.31,6_314.09,6_423.71
2022-02-06 16:00:00 +0800,6_291.66,6_291.66,6_263.93,6_279.09
2022-02-06 12:00:00 +0800,6_248.97,6_320.98,6_248.97,6_296.25
2022-02-06 08:00:00 +0800,6_226.92,6_278.14,6_226.92,6_268.65
2022-02-06 04:00:00 +0800,6_317.49,6_317.49,6_251.67,6_251.67
2022-02-06 00:00:00 +0800,6_257.56,6_288.45,6_246.48,6_288.45
2022-02-05 20:00:00 +0800,6_230.12,6_275.57,6_230.12,6_262.49
2022-02-05 16:00:00 +0800,6_202.44,6_282.50,6_202.44,6_259.52
2022-02-05 12:00:00 +0800,6_220.86,6_220.86,6_111.29,6_177.20
2022-02-05 08:00:00 +0800,6_057.32,6_118.11,6_057.32,6_118.11
2022-02-05 04:00:00 +0800,5_895.00,6_047.36,5_895.00,6_035.03
2022-02-05 00:00:00 +0800,5_761.59,5_778.03,5_692.33,5_754.72
2022-02-04 20:00:00 +0800,5_740.50,5_793.13,5_740.50,5_780.85
2022-02-04 16:00:00 +0800,5_570.05,5_747.18,5_570.05,5_747.18
2022-02-04 12:00:00 +0800,5_614.48,5_614.48,5_580.75,5_606.96
2022-02-04 08:00:00 +0800,5_477.76,5_576.73,5_468.00,5_576.64
2022-02-04 04:00:00 +0800,5_547.76,5_547.76,5_498.54,5_519.11
2022-02-04 00:00:00 +0800,5_501.06,5_523.03,5_501.06,5_523.03
2022-02-03 20:00:00 +0800,5_575.01,5_575.01,5_441.74,5_441.74
2022-02-03 16:00:00 +0800,5_495.32,5_570.52,5_495.32,5_570.52
2022-02-03 12:00:00 +0800,5_535.01,5_549.95,5_511.20,5_525.79
2022-02-03 08:00:00 +0800,5_731.46,5_731.46,5_525.53,5_574.63
2022-02-03 04:00:00 +0800,5_642.31,5_678.37,5_616.87,5_678.37
2022-02-03 00:00:00 +0800,5_839.21,5_905.45,5_685.54,5_685.54
2022-02-02 20:00:00 +0800,5_799.32,5_886.38,5_799.32,5_873.01
2022-02-02 16:00:00 +0800,5_871.98,5_871.98,5_800.91,5_800.91
2022-02-02 12:00:00 +0800,5_912.41,5_912.41,5_820.63,5_872.76
2022-02-02 08:00:00 +0800,5_832.11,5_874.94,5_832.11,5_864.61
2022-02-02 04:00:00 +0800,5_687.78,5_814.52,5_687.78,5_806.41
2022-02-02 00:00:00 +0800,5_622.08,5_727.22,5_622.08,5_671.53
2022-02-01 20:00:00 +0800,5_660.30,5_690.65,5_590.75,5_590.75
2022-02-01 16:00:00 +0800,5_690.25,5_690.25,5_644.08,5_645.23
2022-02-01 12:00:00 +0800,5_615.32,5_615.32,5_552.53,5_595.57
2022-02-01 08:00:00 +0800,5_637.89,5_637.89,5_591.11,5_615.96
2022-02-01 04:00:00 +0800,5_548.80,5_652.31,5_548.80,5_652.31
2022-02-01 00:00:00 +0800,5_413.83,5_492.03,5_413.83,5_492.03
2022-01-31 20:00:00 +0800,5_371.34,5_412.77,5_356.75,5_412.77
2022-01-31 16:00:00 +0800,5_422.30,5_422.30,5_362.52,5_362.52
2022-01-31 12:00:00 +0800,5_566.26,5_566.26,5_413.69,5_413.69
2022-01-31 08:00:00 +0800,5_539.47,5_563.59,5_522.29,5_522.29
2022-01-31 04:00:00 +0800,5_667.51,5_667.51,5_622.04,5_622.04
2022-01-31 00:00:00 +0800,5_713.08,5_713.08,5_636.39,5_636.39
2022-01-30 20:00:00 +0800,5_701.05,5_714.94,5_673.81,5_714.94
2022-01-30 16:00:00 +0800,5_602.78,5_677.08,5_602.78,5_665.87
2022-01-30 12:00:00 +0800,5_673.23,5_673.23,5_595.76,5_604.40
2022-01-30 08:00:00 +0800,5_655.12,5_699.98,5_655.12,5_678.10
2022-01-30 04:00:00 +0800,5_543.37,5_664.85,5_543.37,5_664.85
2022-01-30 00:00:00 +0800,5_603.87,5_704.55,5_603.87,5_625.72
2022-01-29 20:00:00 +0800,5_633.97,5_633.97,5_615.84,5_615.84
2022-01-29 16:00:00 +0800,5_609.42,5_609.42,5_570.72,5_585.98
2022-01-29 12:00:00 +0800,5_600.83,5_611.62,5_568.59,5_568.59
2022-01-29 08:00:00 +0800,5_506.46,5_608.11,5_506.46,5_552.88
2022-01-29 04:00:00 +0800,5_506.59,5_506.59,5_458.22,5_501.21
2022-01-29 00:00:00 +0800,5_475.52,5_543.45,5_422.65,5_460.05
2022-01-28 20:00:00 +0800,5_483.51,5_483.51,5_450.30,5_473.46
2022-01-28 16:00:00 +0800,5_536.90,5_536.90,5_498.39,5_499.40
2022-01-28 12:00:00 +0800,5_495.61,5_496.23,5_455.20,5_476.98
2022-01-28 08:00:00 +0800,5_480.09,5_490.76,5_351.91,5_490.76
2022-01-28 04:00:00 +0800,5_531.88,5_535.93,5_508.68,5_508.68
2022-01-28 00:00:00 +0800,5_558.60,5_578.65,5_551.03,5_551.03
2022-01-27 20:00:00 +0800,5_485.16,5_566.44,5_485.16,5_504.01
2022-01-27 16:00:00 +0800,5_319.66,5_444.32,5_319.66,5_444.32
2022-01-27 12:00:00 +0800,5_515.29,5_515.29,5_381.79,5_381.79
2022-01-27 08:00:00 +0800,5_622.22,5_622.22,5_395.99,5_491.79
2022-01-27 04:00:00 +0800,5_709.61,5_880.91,5_698.92,5_880.91
2022-01-27 00:00:00 +0800,5_679.36,5_751.36,5_650.74,5_747.04
2022-01-26 20:00:00 +0800,5_575.07,5_649.36,5_575.07,5_649.36
2022-01-26 16:00:00 +0800,5_586.70,5_657.12,5_559.46,5_559.46
2022-01-26 12:00:00 +0800,5_535.52,5_554.75,5_477.92,5_526.49
2022-01-26 08:00:00 +0800,5_543.98,5_543.98,5_486.23,5_518.68
2022-01-26 04:00:00 +0800,5_500.89,5_604.84,5_500.89,5_604.84
2022-01-26 00:00:00 +0800,5_553.51,5_553.51,5_462.80,5_462.80
2022-01-25 20:00:00 +0800,5_486.38,5_582.84,5_486.38,5_537.19
2022-01-25 16:00:00 +0800,5_549.08,5_549.08,5_434.84,5_458.96
2022-01-25 12:00:00 +0800,5_665.75,5_665.75,5_523.58,5_561.47
2022-01-25 08:00:00 +0800,5_530.31,5_764.14,5_530.31,5_589.37
2022-01-25 04:00:00 +0800,5_326.55,5_582.14,5_268.06,5_582.14
2022-01-25 00:00:00 +0800,5_197.93,5_197.93,5_114.66,5_170.32
2022-01-24 20:00:00 +0800,5_423.12,5_441.23,5_124.23,5_124.23
2022-01-24 16:00:00 +0800,5_590.26,5_590.26,5_532.08,5_552.25
2022-01-24 12:00:00 +0800,5_745.18,5_745.18,5_528.00,5_528.00
2022-01-24 08:00:00 +0800,5_499.13,5_586.59,5_499.13,5_556.79
2022-01-24 04:00:00 +0800,5_510.01,5_537.64,5_470.95,5_470.95
2022-01-24 00:00:00 +0800,5_643.28,5_678.61,5_467.29,5_467.29
2022-01-23 20:00:00 +0800,5_611.88,5_677.07,5_611.88,5_660.05
2022-01-23 16:00:00 +0800,5_496.51,5_575.87,5_496.51,5_551.02
2022-01-23 12:00:00 +0800,5_567.51,5_649.69,5_454.99,5_454.99
2022-01-23 08:00:00 +0800,5_451.66,5_641.23,5_451.66,5_519.35
2022-01-23 04:00:00 +0800,5_398.81,5_538.21,5_395.89,5_395.89
2022-01-23 00:00:00 +0800,5_384.12,5_596.00,5_384.12,5_499.96
2022-01-22 20:00:00 +0800,5_480.98,5_509.71,5_226.73,5_423.41
2022-01-22 16:00:00 +0800,5_780.59,5_813.32,5_552.16,5_608.22
2022-01-22 12:00:00 +0800,5_817.46,5_942.00,5_817.46,5_909.59
2022-01-22 08:00:00 +0800,6_216.07,6_216.07,5_728.64,5_728.64
2022-01-22 04:00:00 +0800,6_385.60,6_385.60,6_250.89,6_277.50
2022-01-22 00:00:00 +0800,6_400.36,6_400.36,6_126.86,6_250.01
2022-01-21 20:00:00 +0800,6_481.93,6_481.93,6_409.61,6_409.61
2022-01-21 16:00:00 +0800,6_332.75,6_440.65,6_332.75,6_422.03
2022-01-21 12:00:00 +0800,6_706.17,6_710.91,6_354.17,6_483.26
2022-01-21 08:00:00 +0800,7_259.24,7_259.24,6_874.21,6_874.21
2022-01-21 04:00:00 +0800,7_301.01,7_316.64,7_262.93,7_289.80
2022-01-21 00:00:00 +0800,7_103.26,7_280.36,7_079.05,7_280.36
2022-01-20 20:00:00 +0800,7_124.74,7_124.74,7_073.68,7_094.55
2022-01-20 16:00:00 +0800,7_109.88,7_138.12,7_109.88,7_138.12
