date,open,high,low,close
2022-02-19 14:00:00 +0800,532.81,532.81,530.67,530.67
2022-02-19 13:30:00 +0800,532.54,532.55,531.55,532.55
2022-02-19 13:00:00 +0800,532.17,532.77,531.02,531.3
2022-02-19 12:30:00 +0800,530.19,532.07,530.19,532.07
2022-02-19 12:00:00 +0800,530.64,530.64,529.28,530.21
2022-02-19 11:30:00 +0800,531.81,532.74,531.1,531.1
2022-02-19 11:00:00 +0800,529.95,530.65,529.65,530.59
2022-02-19 10:30:00 +0800,530.21,530.21,529.49,529.91
2022-02-19 10:00:00 +0800,530.48,531.56,529.9,529.9
2022-02-19 09:30:00 +0800,527.3,530.61,527.3,530.51
2022-02-19 09:00:00 +0800,525.42,527.2,525.42,527.2
2022-02-19 08:30:00 +0800,523.26,526.31,522.7,526.31
2022-02-19 08:00:00 +0800,524.67,525.58,524.11,524.11
2022-02-19 07:30:00 +0800,519.2,524.65,519.2,524.65
2022-02-19 07:00:00 +0800,521.03,521.03,518.91,519.29
2022-02-19 06:30:00 +0800,524.06,524.27,521.38,521.56
2022-02-19 06:00:00 +0800,526.91,526.96,524.42,524.42
2022-02-19 05:30:00 +0800,523.3,527.46,523.3,527.46
2022-02-19 05:00:00 +0800,523.99,525.08,523.37,523.37
2022-02-19 04:30:00 +0800,527.73,527.73,523.99,524.23
2022-02-19 04:00:00 +0800,529.15,529.56,527.19,528.14
2022-02-19 03:30:00 +0800,530.52,530.52,528.62,528.62
2022-02-19 03:00:00 +0800,525.92,529.94,525.92,529.94
2022-02-19 02:30:00 +0800,526.6,526.6,523.32,525.71
2022-02-19 02:00:00 +0800,527.7,527.99,527.27,527.4
2022-02-19 01:30:00 +0800,528.4,531.6,528.4,529.22
2022-02-19 01:00:00 +0800,532.31,534.43,529.87,529.87
2022-02-19 00:30:00 +0800,528.07,531.66,526.67,531.66
2022-02-19 00:00:00 +0800,536.72,536.72,528.81,529.21
2022-02-18 23:30:00 +0800,540.66,540.66,537.15,540.4
2022-02-18 23:00:00 +0800,545.31,545.31,529.14,537.74
2022-02-18 22:30:00 +0800,543.17,543.62,540.84,542.29
2022-02-18 22:00:00 +0800,541.8,543.78,541.31,543.45
2022-02-18 21:30:00 +0800,545.9,546.14,542.87,542.9
2022-02-18 21:00:00 +0800,545.58,545.58,544.58,545.46
2022-02-18 20:30:00 +0800,541.23,546.39,541.23,545.93
2022-02-18 20:00:00 +0800,541.38,543.06,539.88,541.3
2022-02-18 19:30:00 +0800,548.82,548.82,540.85,541.27
2022-02-18 19:00:00 +0800,547.19,549.24,547.15,549.24
2022-02-18 18:30:00 +0800,549.09,549.09,547.21,547.33
2022-02-18 18:00:00 +0800,548.57,550.4,548.57,549.73
2022-02-18 17:30:00 +0800,546.98,546.98,546.91,546.91
2022-02-18 17:00:00 +0800,542.51,544.93,542.51,544.93
2022-02-18 16:30:00 +0800,540.85,543.26,540.85,542.51
2022-02-18 16:00:00 +0800,540.33,541.08,540.24,540.76
2022-02-18 15:30:00 +0800,540.08,542.26,540.08,541.52
2022-02-18 15:00:00 +0800,536.87,539.09,536.7,539.09
2022-02-18 14:30:00 +0800,535.53,537.09,535.53,537.03
2022-02-18 14:00:00 +0800,535.02,535.22,535.02,535.22
