date,open,high,low,close
2022-02-11 08:00:00 +0800,7_067.66,7_204.01,6_901.34,7_204.01
2022-02-07 08:00:00 +0800,5_614.48,6_538.00,5_614.48,6_538.00
2022-02-03 08:00:00 +0800,5_615.32,5_912.41,5_535.01,5_535.01
2022-01-31 08:00:00 +0800,5_495.61,5_673.23,5_495.61,5_566.26
2022-01-27 08:00:00 +0800,5_736.51,5_736.51,5_491.27,5_491.27
2022-01-23 08:00:00 +0800,7_051.38,7_051.38,5_567.51,5_567.51
2022-01-19 08:00:00 +0800,7_593.83,7_777.97,7_283.14,7_283.14
2022-01-15 08:00:00 +0800,6_711.74,7_427.91,6_711.74,7_427.91
2022-01-11 08:00:00 +0800,6_746.56,6_746.56,6_487.96,6_487.96
2022-01-07 08:00:00 +0800,7_590.72,7_590.72,6_940.83,6_986.59
2022-01-03 08:00:00 +0800,7_476.84,7_736.20,7_476.84,7_736.20
2021-12-31 08:00:00 +0800,7_839.48,7_839.48,7_419.27,7_553.52
2021-12-27 08:00:00 +0800,8_201.19,8_201.19,7_820.84,7_820.84
2021-12-23 08:00:00 +0800,7_654.24,7_815.47,7_640.09,7_815.47
2021-12-19 08:00:00 +0800,7_692.25,7_692.25,7_187.03,7_430.63
2021-12-15 08:00:00 +0800,7_953.28,7_996.10,7_298.79,7_574.20
2021-12-11 08:00:00 +0800,8_163.31,8_276.60,7_504.61,7_504.61
2021-12-07 08:00:00 +0800,9_574.25,9_574.25,7_885.11,8_180.30
2021-12-03 08:00:00 +0800,10_479.10,10_526.74,10_268.65,10_268.65
2021-11-30 08:00:00 +0800,9_789.04,10_418.19,9_789.04,10_418.19
2021-11-27 08:00:00 +0800,11_012.91,11_236.05,9_864.10,9_864.10
2021-11-23 08:00:00 +0800,11_075.25,11_432.11,10_629.28,10_629.28
2021-11-19 08:00:00 +0800,13_261.49,13_261.49,10_241.52,10_241.52
2021-11-15 08:00:00 +0800,12_594.86,13_920.49,12_594.86,13_920.49
