date,open,high,low,close
2022-02-11 08:00:00 +0800,42.71,45.32,42.71,45.05
2022-02-07 08:00:00 +0800,31.06,35.11,31.06,35.11
2022-02-03 08:00:00 +0800,31.77,32.24,30.78,30.78
2022-01-31 08:00:00 +0800,31.28,31.61,30.91,30.91
2022-01-27 08:00:00 +0800,32.26,32.26,31.70,31.98
2022-01-23 08:00:00 +0800,38.09,38.09,30.73,30.73
2022-01-19 08:00:00 +0800,40.17,40.17,38.71,38.71
2022-01-15 08:00:00 +0800,39.40,40.94,39.40,39.73
2022-01-11 08:00:00 +0800,39.24,39.24,37.91,37.91
2022-01-07 08:00:00 +0800,42.60,42.60,39.66,40.08
2022-01-03 08:00:00 +0800,42.40,43.91,42.40,43.91
2021-12-31 08:00:00 +0800,46.63,46.63,41.84,42.88
2021-12-27 08:00:00 +0800,49.91,49.91,45.70,46.11
2021-12-23 08:00:00 +0800,41.71,48.12,41.71,48.12
2021-12-19 08:00:00 +0800,41.62,41.62,39.98,41.39
2021-12-15 08:00:00 +0800,42.14,42.24,39.35,40.81
2021-12-11 08:00:00 +0800,41.17,43.75,40.21,40.21
2021-12-07 08:00:00 +0800,46.51,46.51,40.49,41.51
2021-12-03 08:00:00 +0800,50.28,50.28,49.38,49.38
2021-11-30 08:00:00 +0800,47.52,49.98,47.52,49.98
2021-11-27 08:00:00 +0800,54.10,54.10,47.44,47.44
2021-11-23 08:00:00 +0800,55.12,55.57,52.57,52.57
2021-11-19 08:00:00 +0800,58.94,58.94,52.23,52.23
2021-11-15 08:00:00 +0800,59.51,59.51,59.43,59.43
