date,open,high,low,close
2022-02-19 14:00:00 +0800,16154.84,16202.25,16154.84,16183.86
2022-02-19 13:30:00 +0800,16122.75,16148.52,16122.75,16148.52
2022-02-19 13:00:00 +0800,16128.86,16128.86,16118.87,16120.4
2022-02-19 12:30:00 +0800,16076.78,16120.4,16076.78,16120.4
2022-02-19 12:00:00 +0800,16077.34,16078.55,16037.79,16078.55
2022-02-19 11:30:00 +0800,16094.48,16103.61,16073.23,16073.23
2022-02-19 11:00:00 +0800,16090.7,16103.66,16079.6,16095.09
2022-02-19 10:30:00 +0800,16075.23,16075.23,16053.43,16074.07
2022-02-19 10:00:00 +0800,16065.26,16107.86,16065.26,16084.97
2022-02-19 09:30:00 +0800,16085.96,16107.14,16069.32,16069.32
2022-02-19 09:00:00 +0800,16063.62,16093.1,16063.62,16086.72
2022-02-19 08:30:00 +0800,16011.67,16036.21,15972.96,16036.21
2022-02-19 08:00:00 +0800,16038.55,16043.83,16025.47,16025.47
2022-02-19 07:30:00 +0800,16005.88,16025.0,15995.87,16025.0
2022-02-19 07:00:00 +0800,15985.94,16006.95,15985.94,16006.95
2022-02-19 06:30:00 +0800,16030.55,16030.55,15970.6,15986.83
2022-02-19 06:00:00 +0800,16085.96,16092.36,16043.06,16045.63
2022-02-19 05:30:00 +0800,16070.03,16106.69,16057.42,16104.35
2022-02-19 05:00:00 +0800,16067.19,16083.8,16050.73,16050.73
2022-02-19 04:30:00 +0800,16124.75,16124.75,16085.86,16095.01
2022-02-19 04:00:00 +0800,16103.93,16105.41,16046.23,16105.41
2022-02-19 03:30:00 +0800,16057.32,16090.9,16042.25,16090.9
2022-02-19 03:00:00 +0800,15913.77,16034.42,15913.77,16034.42
2022-02-19 02:30:00 +0800,15891.01,15910.25,15860.35,15910.25
2022-02-19 02:00:00 +0800,15911.3,15911.82,15881.4,15901.88
2022-02-19 01:30:00 +0800,15917.06,15972.65,15917.06,15941.73
2022-02-19 01:00:00 +0800,16013.82,16041.74,15956.93,15956.93
2022-02-19 00:30:00 +0800,15938.22,16011.18,15913.76,16011.18
2022-02-19 00:00:00 +0800,16032.31,16032.31,15936.47,15946.28
2022-02-18 23:30:00 +0800,16261.71,16261.71,16069.3,16069.3
2022-02-18 23:00:00 +0800,16238.07,16255.89,15975.28,16142.82
2022-02-18 22:30:00 +0800,16266.13,16316.11,16231.81,16231.81
2022-02-18 22:00:00 +0800,16249.31,16273.52,16214.82,16264.69
2022-02-18 21:30:00 +0800,16255.04,16278.47,16255.04,16267.5
2022-02-18 21:00:00 +0800,16282.58,16282.58,16226.94,16244.61
2022-02-18 20:30:00 +0800,16177.97,16296.8,16177.97,16282.87
2022-02-18 20:00:00 +0800,16198.05,16232.34,16173.25,16173.79
2022-02-18 19:30:00 +0800,16323.33,16323.33,16154.48,16209.43
2022-02-18 19:00:00 +0800,16293.13,16325.85,16291.91,16325.85
2022-02-18 18:30:00 +0800,16381.37,16381.37,16318.97,16318.97
2022-02-18 18:00:00 +0800,16378.51,16401.25,16378.51,16386.19
2022-02-18 17:30:00 +0800,16403.18,16403.18,16382.93,16382.93
2022-02-18 17:00:00 +0800,16356.41,16364.66,16329.38,16343.84
2022-02-18 16:30:00 +0800,16256.28,16376.92,16256.28,16376.92
2022-02-18 16:00:00 +0800,16219.95,16219.95,16178.16,16203.51
2022-02-18 15:30:00 +0800,16191.16,16235.66,16191.16,16235.66
2022-02-18 15:00:00 +0800,16133.04,16149.65,16118.82,16149.65
2022-02-18 14:30:00 +0800,16096.98,16139.38,16096.98,16139.38
2022-02-18 14:00:00 +0800,16124.79,16124.79,16116.49,16116.49
