date,open,high,low,close
2022-02-19 14:00:00 +0800,6004.88,6004.88,5986.41,5986.41
2022-02-19 13:30:00 +0800,6003.32,6006.61,5993.76,5999.94
2022-02-19 13:00:00 +0800,5998.02,6002.22,5993.64,5997.71
2022-02-19 12:30:00 +0800,5990.88,5993.86,5985.45,5993.86
2022-02-19 12:00:00 +0800,5985.06,5991.31,5980.09,5991.31
2022-02-19 11:30:00 +0800,5974.02,5987.76,5974.02,5986.34
2022-02-19 11:00:00 +0800,5962.49,5976.47,5958.85,5975.74
2022-02-19 10:30:00 +0800,5958.84,5958.84,5946.58,5956.56
2022-02-19 10:00:00 +0800,5963.74,5968.59,5958.82,5958.87
2022-02-19 09:30:00 +0800,5948.92,5963.21,5948.92,5961.38
2022-02-19 09:00:00 +0800,5942.74,5956.9,5942.74,5950.77
2022-02-19 08:30:00 +0800,5918.72,5944.04,5913.29,5944.04
2022-02-19 08:00:00 +0800,5938.55,5938.55,5920.05,5920.05
2022-02-19 07:30:00 +0800,5929.8,5938.5,5929.8,5938.5
2022-02-19 07:00:00 +0800,5911.65,5930.83,5910.16,5930.83
2022-02-19 06:30:00 +0800,5950.15,5950.15,5914.87,5917.52
2022-02-19 06:00:00 +0800,5972.96,5974.8,5954.77,5954.77
2022-02-19 05:30:00 +0800,5930.94,5976.07,5930.94,5976.07
2022-02-19 05:00:00 +0800,5950.17,5950.17,5933.71,5933.71
2022-02-19 04:30:00 +0800,5991.09,5991.81,5970.64,5970.64
2022-02-19 04:00:00 +0800,6001.15,6001.15,5965.76,5981.84
2022-02-19 03:30:00 +0800,6022.09,6022.09,5994.91,5994.91
2022-02-19 03:00:00 +0800,5975.85,6023.28,5975.85,6022.36
2022-02-19 02:30:00 +0800,5978.73,5978.73,5956.5,5961.65
2022-02-19 02:00:00 +0800,5975.78,5986.98,5968.7,5986.98
2022-02-19 01:30:00 +0800,5971.92,6004.25,5971.92,5986.13
2022-02-19 01:00:00 +0800,6008.25,6033.58,5993.64,5993.64
2022-02-19 00:30:00 +0800,5978.64,6021.68,5960.11,6021.68
2022-02-19 00:00:00 +0800,6072.72,6072.72,5979.69,5981.68
2022-02-18 23:30:00 +0800,6146.3,6146.3,6103.7,6103.7
2022-02-18 23:00:00 +0800,6162.19,6162.19,6010.83,6101.38
2022-02-18 22:30:00 +0800,6203.37,6215.5,6173.51,6173.51
2022-02-18 22:00:00 +0800,6169.37,6203.34,6168.73,6199.39
2022-02-18 21:30:00 +0800,6206.91,6230.65,6195.4,6195.4
2022-02-18 21:00:00 +0800,6169.17,6169.17,6146.88,6162.27
2022-02-18 20:30:00 +0800,6105.59,6156.66,6103.78,6156.66
2022-02-18 20:00:00 +0800,6099.11,6129.73,6094.45,6110.09
2022-02-18 19:30:00 +0800,6134.7,6134.7,6074.28,6074.28
2022-02-18 19:00:00 +0800,6141.35,6141.35,6133.06,6136.13
2022-02-18 18:30:00 +0800,6174.86,6177.6,6144.24,6144.24
2022-02-18 18:00:00 +0800,6152.71,6172.9,6152.71,6172.9
2022-02-18 17:30:00 +0800,6151.68,6151.68,6140.39,6140.39
2022-02-18 17:00:00 +0800,6171.98,6171.98,6125.91,6125.91
2022-02-18 16:30:00 +0800,6052.41,6199.47,6052.41,6192.71
2022-02-18 16:00:00 +0800,6033.64,6043.32,6028.77,6043.32
2022-02-18 15:30:00 +0800,6030.05,6056.58,6030.05,6045.66
2022-02-18 15:00:00 +0800,6038.21,6038.21,6021.37,6024.42
2022-02-18 14:30:00 +0800,6014.81,6047.59,6014.81,6039.85
2022-02-18 14:00:00 +0800,6021.07,6021.07,6017.77,6017.77
