date,open,high,low,close
2022-02-19 08:00:00 +0800,887.98,887.98,785.41,785.41
2022-02-15 08:00:00 +0800,829.71,829.71,807.10,818.71
2022-02-11 08:00:00 +0800,972.61,972.61,898.69,898.69
2022-02-07 08:00:00 +0800,824.37,925.19,824.37,925.19
2022-02-03 08:00:00 +0800,884.81,884.81,810.06,810.06
2022-01-31 08:00:00 +0800,779.35,910.93,779.35,910.93
2022-01-27 08:00:00 +0800,849.61,849.61,785.15,785.15
2022-01-23 08:00:00 +0800,1_115.34,1_115.34,814.24,814.24
2022-01-19 08:00:00 +0800,1_297.05,1_314.41,1_183.09,1_183.09
2022-01-15 08:00:00 +0800,1_365.79,1_369.01,1_271.24,1_319.49
2022-01-11 08:00:00 +0800,1_338.68,1_428.20,1_311.26,1_428.20
2022-01-07 08:00:00 +0800,1_206.19,1_304.79,1_206.19,1_299.01
2022-01-03 08:00:00 +0800,1_001.07,1_116.28,1_001.07,1_116.28
2021-12-31 08:00:00 +0800,1_159.24,1_159.24,1_008.46,1_017.94
2021-12-27 08:00:00 +0800,1_114.16,1_153.63,1_076.27,1_153.63
2021-12-23 08:00:00 +0800,945.10,1_005.66,943.99,1_005.66
2021-12-19 08:00:00 +0800,991.02,991.02,914.83,976.10
2021-12-15 08:00:00 +0800,1_001.44,1_028.60,894.16,927.36
2021-12-11 08:00:00 +0800,1_048.38,1_142.85,934.99,934.99
2021-12-07 08:00:00 +0800,1_177.57,1_177.57,977.99,998.19
2021-12-03 08:00:00 +0800,1_276.97,1_281.78,1_237.58,1_237.58
2021-11-30 08:00:00 +0800,1_210.48,1_258.95,1_210.48,1_258.95
2021-11-27 08:00:00 +0800,1_368.15,1_368.15,1_207.12,1_207.12
2021-11-23 08:00:00 +0800,1_478.12,1_478.12,1_358.37,1_358.37
