date,open,high,low,close
2022-02-19 16:00:00 +0800,16_078.55,16_122.75,16_078.55,16_122.75
2022-02-19 12:00:00 +0800,16_011.67,16_095.09,16_011.67,16_095.09
2022-02-19 08:00:00 +0800,16_105.41,16_105.41,16_006.95,16_006.95
2022-02-19 04:00:00 +0800,15_946.28,16_034.42,15_901.88,16_034.42
2022-02-19 00:00:00 +0800,16_173.79,16_266.13,16_142.82,16_142.82
2022-02-18 20:00:00 +0800,16_203.51,16_386.19,16_203.51,16_323.33
2022-02-18 16:00:00 +0800,16_131.55,16_149.65,16_065.50,16_149.65
2022-02-18 12:00:00 +0800,16_065.07,16_173.36,16_065.07,16_116.71
2022-02-18 08:00:00 +0800,16_251.55,16_251.55,16_153.84,16_209.02
2022-02-18 04:00:00 +0800,16_589.68,16_615.64,16_298.98,16_298.98
2022-02-18 00:00:00 +0800,16_824.11,16_847.83,16_569.84,16_569.84
2022-02-17 20:00:00 +0800,17_046.38,17_046.38,16_741.91,16_753.61
2022-02-17 16:00:00 +0800,16_974.62,17_071.31,16_907.09,17_071.31
2022-02-17 12:00:00 +0800,17_319.63,17_319.63,17_069.61,17_069.61
2022-02-17 08:00:00 +0800,17_299.33,17_321.60,17_204.32,17_321.60
2022-02-17 04:00:00 +0800,17_014.61,17_106.66,17_014.61,17_106.66
2022-02-17 00:00:00 +0800,17_440.78,17_440.78,17_066.18,17_066.18
2022-02-16 20:00:00 +0800,17_378.69,17_463.28,17_286.28,17_463.28
2022-02-16 16:00:00 +0800,17_229.45,17_306.83,17_168.60,17_306.83
2022-02-16 12:00:00 +0800,17_589.43,17_589.43,17_295.76,17_295.76
2022-02-16 08:00:00 +0800,17_338.16,17_432.72,17_318.30,17_432.72
2022-02-16 04:00:00 +0800,17_403.27,17_416.91,17_373.12,17_380.71
2022-02-16 00:00:00 +0800,17_386.10,17_386.10,17_321.78,17_330.72
2022-02-15 20:00:00 +0800,17_154.72,17_513.37,17_154.72,17_513.37
2022-02-15 16:00:00 +0800,17_282.97,17_282.97,17_099.38,17_099.38
2022-02-15 12:00:00 +0800,17_009.64,17_362.89,16_993.62,17_362.89
2022-02-15 08:00:00 +0800,16_931.89,17_019.01,16_918.35,17_019.01
2022-02-15 04:00:00 +0800,16_825.82,17_061.83,16_825.82,17_007.28
2022-02-15 00:00:00 +0800,16_570.61,16_890.41,16_570.61,16_890.41
2022-02-14 20:00:00 +0800,16_604.84,16_604.84,16_513.71,16_558.55
2022-02-14 16:00:00 +0800,16_610.03,16_638.50,16_420.29,16_605.71
2022-02-14 12:00:00 +0800,17_157.54,17_157.54,16_621.64,16_621.64
2022-02-14 08:00:00 +0800,16_826.71,17_207.89,16_826.71,17_207.89
2022-02-14 04:00:00 +0800,17_326.20,17_326.20,16_920.81,16_920.81
2022-02-14 00:00:00 +0800,16_828.85,16_863.13,16_791.77,16_863.13
2022-02-13 20:00:00 +0800,16_842.15,16_851.27,16_765.25,16_827.22
2022-02-13 16:00:00 +0800,16_829.69,16_901.29,16_829.69,16_901.29
2022-02-13 12:00:00 +0800,16_911.20,17_067.34,16_847.18,16_847.18
2022-02-13 08:00:00 +0800,16_677.42,16_699.35,16_331.15,16_578.30
2022-02-13 04:00:00 +0800,16_366.68,16_860.02,16_366.68,16_860.02
2022-02-13 00:00:00 +0800,16_350.54,16_350.54,16_216.58,16_216.58
2022-02-12 20:00:00 +0800,16_318.72,16_409.78,16_318.72,16_333.33
2022-02-12 16:00:00 +0800,16_532.45,16_553.09,16_283.65,16_283.65
2022-02-12 12:00:00 +0800,16_457.57,16_485.11,16_379.08,16_485.11
2022-02-12 08:00:00 +0800,16_839.17,16_839.17,16_392.94,16_392.94
