date,open,high,low,close
2022-02-11 08:00:00 +0800,17_656.06,17_781.34,17_336.21,17_781.34
2022-02-07 08:00:00 +0800,14_241.42,16_676.11,14_241.42,16_676.11
2022-02-03 08:00:00 +0800,14_629.66,14_760.90,14_221.06,14_221.06
2022-01-31 08:00:00 +0800,14_835.98,15_273.73,14_835.98,14_916.34
2022-01-27 08:00:00 +0800,15_487.85,15_487.85,14_870.87,14_870.87
2022-01-23 08:00:00 +0800,19_046.76,19_046.76,14_930.59,14_930.59
2022-01-19 08:00:00 +0800,20_081.09,20_081.09,19_545.96,19_654.18
2022-01-15 08:00:00 +0800,18_852.61,19_817.05,18_852.61,19_817.05
2022-01-11 08:00:00 +0800,19_831.10,19_831.10,18_662.34,18_662.34
2022-01-07 08:00:00 +0800,22_221.62,22_221.62,20_522.58,20_522.58
2022-01-03 08:00:00 +0800,22_007.02,22_854.27,22_007.02,22_854.27
2021-12-31 08:00:00 +0800,23_409.13,23_409.13,21_995.36,22_003.85
2021-12-27 08:00:00 +0800,22_857.25,22_892.73,22_622.80,22_622.80
2021-12-23 08:00:00 +0800,21_679.52,22_115.37,21_563.00,22_115.37
2021-12-19 08:00:00 +0800,22_409.80,22_409.80,21_281.98,21_733.65
2021-12-15 08:00:00 +0800,23_094.91,23_094.91,21_347.45,21_942.67
2021-12-11 08:00:00 +0800,23_877.53,24_119.95,22_196.46,22_196.46
2021-12-07 08:00:00 +0800,27_017.96,27_017.96,22_840.06,23_919.05
2021-12-03 08:00:00 +0800,28_752.23,28_836.22,28_331.99,28_331.99
2021-11-30 08:00:00 +0800,28_311.10,28_976.24,28_311.10,28_976.24
2021-11-27 08:00:00 +0800,29_038.55,31_126.16,28_161.29,28_161.29
2021-11-23 08:00:00 +0800,29_092.73,29_619.68,28_283.79,28_283.79
2021-11-19 08:00:00 +0800,33_464.71,33_464.71,27_809.46,27_809.46
2021-11-15 08:00:00 +0800,33_336.73,33_746.41,33_239.29,33_746.41
